indicator,API_UserName,obs_date,OpDiv,observations,curr_date
80.66.83.49,64853912235916233429,2025-01-06,OS,2583,2025-01-06
107.189.30.69,64853912235916233429,2025-01-07,OS,1,2025-01-07
118.193.72.187,64853912235916233429,2025-01-07,OS,5065,2025-01-07
119.200.13.201,64853912235916233429,2025-01-07,OS,348,2025-01-07
146.70.45.166,64853912235916233429,2025-01-07,OS,2,2025-01-07
146.71.50.198,64853912235916233429,2025-01-07,OS,9285,2025-01-07
147.45.76.186,64853912235916233429,2025-01-07,OS,19,2025-01-07
152.32.128.214,64853912235916233429,2025-01-07,OS,966,2025-01-07
162.142.125.242,64853912235916233429,2025-01-07,OS,53488,2025-01-07
162.142.125.247,64853912235916233429,2025-01-07,OS,54136,2025-01-07
162.142.125.255,64853912235916233429,2025-01-07,OS,53796,2025-01-07
171.25.193.20,64853912235916233429,2025-01-07,OS,10,2025-01-07
171.25.193.77,64853912235916233429,2025-01-07,OS,3,2025-01-07
183.215.194.158,64853912235916233429,2025-01-07,OS,41,2025-01-07
185.108.105.110,64853912235916233429,2025-01-07,OS,6,2025-01-07
185.220.100.240,64853912235916233429,2025-01-07,OS,9,2025-01-07
185.241.208.204,64853912235916233429,2025-01-07,OS,12,2025-01-07
192.42.116.192,64853912235916233429,2025-01-07,OS,14,2025-01-07
193.32.162.79,64853912235916233429,2025-01-07,OS,2332,2025-01-07
205.185.117.73,64853912235916233429,2025-01-07,OS,4,2025-01-07
207.244.71.82,64853912235916233429,2025-01-07,OS,22,2025-01-07
207.244.71.84,64853912235916233429,2025-01-07,OS,28,2025-01-07
207.244.89.161,64853912235916233429,2025-01-07,OS,25,2025-01-07
207.244.89.162,64853912235916233429,2025-01-07,OS,32,2025-01-07
208.87.233.190,64853912235916233429,2025-01-07,OS,24,2025-01-07
221.222.184.230,64853912235916233429,2025-01-07,OS,1746,2025-01-07
61.153.184.151,64853912235916233429,2025-01-07,OS,309,2025-01-07
80.66.83.46,64853912235916233429,2025-01-07,OS,1139,2025-01-07
80.66.83.49,64853912235916233429,2025-01-07,OS,2134,2025-01-07
118.193.72.187,64853912235916233429,2025-01-08,OS,4303,2025-01-08
119.200.13.201,64853912235916233429,2025-01-08,OS,349,2025-01-08
146.70.192.174,64853912235916233429,2025-01-08,OS,6,2025-01-08
146.70.45.166,64853912235916233429,2025-01-08,OS,4,2025-01-08
146.71.50.198,64853912235916233429,2025-01-08,OS,9261,2025-01-08
147.45.76.186,64853912235916233429,2025-01-08,OS,5,2025-01-08
152.32.128.214,64853912235916233429,2025-01-08,OS,988,2025-01-08
162.142.125.242,64853912235916233429,2025-01-08,OS,50237,2025-01-08
162.142.125.247,64853912235916233429,2025-01-08,OS,34233,2025-01-08
162.142.125.255,64853912235916233429,2025-01-08,OS,51010,2025-01-08
171.25.193.20,64853912235916233429,2025-01-08,OS,1,2025-01-08
183.215.194.158,64853912235916233429,2025-01-08,OS,43,2025-01-08
185.129.62.62,64853912235916233429,2025-01-08,OS,2,2025-01-08
185.241.208.204,64853912235916233429,2025-01-08,OS,15,2025-01-08
193.32.162.79,64853912235916233429,2025-01-08,OS,1390,2025-01-08
207.244.71.82,64853912235916233429,2025-01-08,OS,24,2025-01-08
207.244.71.84,64853912235916233429,2025-01-08,OS,14,2025-01-08
207.244.89.161,64853912235916233429,2025-01-08,OS,21,2025-01-08
208.87.233.190,64853912235916233429,2025-01-08,OS,22,2025-01-08
221.222.184.230,64853912235916233429,2025-01-08,OS,1676,2025-01-08
61.153.184.151,64853912235916233429,2025-01-08,OS,293,2025-01-08
80.66.83.46,64853912235916233429,2025-01-08,OS,881,2025-01-08
80.66.83.49,64853912235916233429,2025-01-08,OS,2552,2025-01-08
87.236.176.51,64853912235916233429,2025-01-08,OS,8,2025-01-08
118.193.72.187,64853912235916233429,2025-01-09,OS,4688,2025-01-09
119.200.13.201,64853912235916233429,2025-01-09,OS,314,2025-01-09
146.70.45.166,64853912235916233429,2025-01-09,OS,4,2025-01-09
146.71.50.198,64853912235916233429,2025-01-09,OS,8330,2025-01-09
147.45.112.17,64853912235916233429,2025-01-09,OS,2,2025-01-09
147.45.76.186,64853912235916233429,2025-01-09,OS,17,2025-01-09
152.32.128.214,64853912235916233429,2025-01-09,OS,1030,2025-01-09
162.142.125.242,64853912235916233429,2025-01-09,OS,48880,2025-01-09
162.142.125.255,64853912235916233429,2025-01-09,OS,48771,2025-01-09
183.215.194.158,64853912235916233429,2025-01-09,OS,52,2025-01-09
185.220.100.240,64853912235916233429,2025-01-09,OS,5,2025-01-09
185.241.208.204,64853912235916233429,2025-01-09,OS,3,2025-01-09
193.32.126.233,64853912235916233429,2025-01-09,OS,1,2025-01-09
193.32.162.79,64853912235916233429,2025-01-09,OS,1985,2025-01-09
193.32.162.83,64853912235916233429,2025-01-09,OS,367,2025-01-09
194.165.16.76,64853912235916233429,2025-01-09,OS,12,2025-01-09
207.244.71.82,64853912235916233429,2025-01-09,OS,46,2025-01-09
207.244.71.84,64853912235916233429,2025-01-09,OS,21,2025-01-09
207.244.89.161,64853912235916233429,2025-01-09,OS,16,2025-01-09
207.244.89.162,64853912235916233429,2025-01-09,OS,38,2025-01-09
208.87.233.190,64853912235916233429,2025-01-09,OS,24,2025-01-09
221.222.184.230,64853912235916233429,2025-01-09,OS,1601,2025-01-09
61.153.184.151,64853912235916233429,2025-01-09,OS,272,2025-01-09
66.235.168.222,64853912235916233429,2025-01-09,OS,8,2025-01-09
80.66.83.46,64853912235916233429,2025-01-09,OS,1250,2025-01-09
80.66.83.49,64853912235916233429,2025-01-09,OS,2242,2025-01-09
