indicator,API_UserName,obs_date,OpDiv,observations,curr_date
118.193.72.187,35664937356778434955,2025-01-22,HRSA,256,2025-01-22
119.200.13.201,35664937356778434955,2025-01-22,HRSA,162,2025-01-22
14.103.127.80,35664937356778434955,2025-01-22,HRSA,38,2025-01-22
14.29.227.102,35664937356778434955,2025-01-22,HRSA,8,2025-01-22
146.71.50.198,35664937356778434955,2025-01-22,HRSA,5127,2025-01-22
152.32.128.214,35664937356778434955,2025-01-22,HRSA,487,2025-01-22
162.142.125.242,35664937356778434955,2025-01-22,HRSA,22271,2025-01-22
162.142.125.255,35664937356778434955,2025-01-22,HRSA,21944,2025-01-22
180.76.51.64,35664937356778434955,2025-01-22,HRSA,32,2025-01-22
183.215.194.158,35664937356778434955,2025-01-22,HRSA,29,2025-01-22
185.220.100.240,35664937356778434955,2025-01-22,HRSA,4,2025-01-22
193.32.126.233,35664937356778434955,2025-01-22,HRSA,17,2025-01-22
193.32.162.79,35664937356778434955,2025-01-22,HRSA,966,2025-01-22
217.170.194.54,35664937356778434955,2025-01-22,HRSA,14,2025-01-22
23.205.105.180,35664937356778434955,2025-01-22,HRSA,12,2025-01-22
61.153.184.151,35664937356778434955,2025-01-22,HRSA,143,2025-01-22
61.55.69.7,35664937356778434955,2025-01-22,HRSA,116,2025-01-22
8.222.137.97,35664937356778434955,2025-01-22,HRSA,115,2025-01-22
80.66.83.46,35664937356778434955,2025-01-22,HRSA,103672,2025-01-22
80.66.83.49,35664937356778434955,2025-01-22,HRSA,98768,2025-01-22
84.207.244.250,35664937356778434955,2025-01-22,HRSA,26,2025-01-22
87.236.176.51,35664937356778434955,2025-01-22,HRSA,3,2025-01-22
89.250.72.16,35664937356778434955,2025-01-22,HRSA,47,2025-01-22
www.sthda.com,35664937356778434955,2025-01-22,HRSA,5,2025-01-22
104.21.48.1,35664937356778434955,2025-01-23,HRSA,5607,2025-01-23
106.12.204.212,35664937356778434955,2025-01-23,HRSA,257,2025-01-23
107.189.30.69,35664937356778434955,2025-01-23,HRSA,39,2025-01-23
111.67.194.39,35664937356778434955,2025-01-23,HRSA,493,2025-01-23
118.193.72.187,35664937356778434955,2025-01-23,HRSA,256,2025-01-23
119.200.13.201,35664937356778434955,2025-01-23,HRSA,160,2025-01-23
14.103.127.80,35664937356778434955,2025-01-23,HRSA,101,2025-01-23
14.29.227.102,35664937356778434955,2025-01-23,HRSA,8,2025-01-23
146.71.50.198,35664937356778434955,2025-01-23,HRSA,7673,2025-01-23
152.32.128.214,35664937356778434955,2025-01-23,HRSA,540,2025-01-23
162.142.125.242,35664937356778434955,2025-01-23,HRSA,26404,2025-01-23
162.142.125.255,35664937356778434955,2025-01-23,HRSA,26245,2025-01-23
180.76.51.64,35664937356778434955,2025-01-23,HRSA,151,2025-01-23
183.215.194.158,35664937356778434955,2025-01-23,HRSA,20,2025-01-23
185.230.63.171,35664937356778434955,2025-01-23,HRSA,2,2025-01-23
193.32.162.79,35664937356778434955,2025-01-23,HRSA,1502,2025-01-23
1drv.ms,35664937356778434955,2025-01-23,HRSA,5,2025-01-23
217.170.194.54,35664937356778434955,2025-01-23,HRSA,28,2025-01-23
23.205.105.180,35664937356778434955,2025-01-23,HRSA,142,2025-01-23
61.153.184.151,35664937356778434955,2025-01-23,HRSA,146,2025-01-23
61.55.69.7,35664937356778434955,2025-01-23,HRSA,541,2025-01-23
77.220.192.136,35664937356778434955,2025-01-23,HRSA,12,2025-01-23
8.222.137.97,35664937356778434955,2025-01-23,HRSA,1904,2025-01-23
80.66.83.46,35664937356778434955,2025-01-23,HRSA,128983,2025-01-23
80.66.83.49,35664937356778434955,2025-01-23,HRSA,101037,2025-01-23
84.207.244.250,35664937356778434955,2025-01-23,HRSA,94,2025-01-23
89.250.72.16,35664937356778434955,2025-01-23,HRSA,366,2025-01-23
91.191.209.46,35664937356778434955,2025-01-23,HRSA,135,2025-01-23
echo4.bluehornet.com,35664937356778434955,2025-01-23,HRSA,10,2025-01-23
etrack05.com,35664937356778434955,2025-01-23,HRSA,4,2025-01-23
106.12.204.212,35664937356778434955,2025-01-24,HRSA,250,2025-01-24
111.67.194.254,35664937356778434955,2025-01-24,HRSA,34,2025-01-24
111.67.194.39,35664937356778434955,2025-01-24,HRSA,451,2025-01-24
119.200.13.201,35664937356778434955,2025-01-24,HRSA,158,2025-01-24
14.103.127.80,35664937356778434955,2025-01-24,HRSA,114,2025-01-24
146.71.50.198,35664937356778434955,2025-01-24,HRSA,5704,2025-01-24
147.45.76.186,35664937356778434955,2025-01-24,HRSA,45,2025-01-24
152.32.128.214,35664937356778434955,2025-01-24,HRSA,460,2025-01-24
159.65.179.156,35664937356778434955,2025-01-24,HRSA,1,2025-01-24
162.142.125.242,35664937356778434955,2025-01-24,HRSA,22172,2025-01-24
162.142.125.255,35664937356778434955,2025-01-24,HRSA,22335,2025-01-24
172.240.108.68,35664937356778434955,2025-01-24,HRSA,6,2025-01-24
180.76.51.64,35664937356778434955,2025-01-24,HRSA,154,2025-01-24
183.215.194.158,35664937356778434955,2025-01-24,HRSA,20,2025-01-24
185.220.100.240,35664937356778434955,2025-01-24,HRSA,4,2025-01-24
193.32.162.79,35664937356778434955,2025-01-24,HRSA,1220,2025-01-24
194.26.192.77,35664937356778434955,2025-01-24,HRSA,7,2025-01-24
207.244.71.82,35664937356778434955,2025-01-24,HRSA,12,2025-01-24
207.244.89.162,35664937356778434955,2025-01-24,HRSA,18,2025-01-24
217.170.194.54,35664937356778434955,2025-01-24,HRSA,32,2025-01-24
23.205.105.180,35664937356778434955,2025-01-24,HRSA,155,2025-01-24
61.153.184.151,35664937356778434955,2025-01-24,HRSA,150,2025-01-24
61.55.69.7,35664937356778434955,2025-01-24,HRSA,483,2025-01-24
8.222.137.97,35664937356778434955,2025-01-24,HRSA,1681,2025-01-24
80.66.83.46,35664937356778434955,2025-01-24,HRSA,101791,2025-01-24
80.66.83.49,35664937356778434955,2025-01-24,HRSA,99568,2025-01-24
84.239.47.90,35664937356778434955,2025-01-24,HRSA,2,2025-01-24
87.236.176.51,35664937356778434955,2025-01-24,HRSA,3,2025-01-24
91.191.209.46,35664937356778434955,2025-01-24,HRSA,461,2025-01-24
i.postimg.cc,35664937356778434955,2025-01-24,HRSA,5,2025-01-24
106.12.204.212,35664937356778434955,2025-01-25,HRSA,216,2025-01-25
111.67.194.254,35664937356778434955,2025-01-25,HRSA,424,2025-01-25
111.67.194.39,35664937356778434955,2025-01-25,HRSA,349,2025-01-25
118.193.72.187,35664937356778434955,2025-01-25,HRSA,512,2025-01-25
119.200.13.201,35664937356778434955,2025-01-25,HRSA,140,2025-01-25
14.103.127.80,35664937356778434955,2025-01-25,HRSA,125,2025-01-25
14.29.227.102,35664937356778434955,2025-01-25,HRSA,4,2025-01-25
141.98.252.143,35664937356778434955,2025-01-25,HRSA,1696,2025-01-25
146.71.50.198,35664937356778434955,2025-01-25,HRSA,4564,2025-01-25
152.32.128.214,35664937356778434955,2025-01-25,HRSA,665,2025-01-25
162.142.125.242,35664937356778434955,2025-01-25,HRSA,22596,2025-01-25
162.142.125.255,35664937356778434955,2025-01-25,HRSA,22379,2025-01-25
180.76.51.64,35664937356778434955,2025-01-25,HRSA,137,2025-01-25
183.215.194.158,35664937356778434955,2025-01-25,HRSA,12,2025-01-25
183.224.237.233,35664937356778434955,2025-01-25,HRSA,51,2025-01-25
185.230.63.171,35664937356778434955,2025-01-25,HRSA,14,2025-01-25
193.32.162.79,35664937356778434955,2025-01-25,HRSA,1046,2025-01-25
203.239.31.150,35664937356778434955,2025-01-25,HRSA,36,2025-01-25
217.170.194.54,35664937356778434955,2025-01-25,HRSA,40,2025-01-25
23.205.105.180,35664937356778434955,2025-01-25,HRSA,7,2025-01-25
61.153.184.151,35664937356778434955,2025-01-25,HRSA,148,2025-01-25
61.55.69.7,35664937356778434955,2025-01-25,HRSA,490,2025-01-25
8.222.137.97,35664937356778434955,2025-01-25,HRSA,1605,2025-01-25
80.66.83.46,35664937356778434955,2025-01-25,HRSA,113418,2025-01-25
80.66.83.49,35664937356778434955,2025-01-25,HRSA,77084,2025-01-25
87.236.176.51,35664937356778434955,2025-01-25,HRSA,9,2025-01-25
91.191.209.46,35664937356778434955,2025-01-25,HRSA,410,2025-01-25
106.12.204.212,35664937356778434955,2025-01-26,HRSA,228,2025-01-26
111.67.194.254,35664937356778434955,2025-01-26,HRSA,399,2025-01-26
111.67.194.39,35664937356778434955,2025-01-26,HRSA,412,2025-01-26
119.200.13.201,35664937356778434955,2025-01-26,HRSA,148,2025-01-26
14.103.127.80,35664937356778434955,2025-01-26,HRSA,130,2025-01-26
146.71.50.198,35664937356778434955,2025-01-26,HRSA,5421,2025-01-26
152.32.128.214,35664937356778434955,2025-01-26,HRSA,600,2025-01-26
162.142.125.242,35664937356778434955,2025-01-26,HRSA,22598,2025-01-26
162.142.125.255,35664937356778434955,2025-01-26,HRSA,22672,2025-01-26
171.25.193.77,35664937356778434955,2025-01-26,HRSA,4,2025-01-26
180.76.51.64,35664937356778434955,2025-01-26,HRSA,216,2025-01-26
183.215.194.158,35664937356778434955,2025-01-26,HRSA,27,2025-01-26
183.224.237.233,35664937356778434955,2025-01-26,HRSA,40,2025-01-26
193.32.162.79,35664937356778434955,2025-01-26,HRSA,1075,2025-01-26
203.239.31.150,35664937356778434955,2025-01-26,HRSA,33,2025-01-26
207.244.71.82,35664937356778434955,2025-01-26,HRSA,24,2025-01-26
217.170.194.54,35664937356778434955,2025-01-26,HRSA,52,2025-01-26
61.153.184.151,35664937356778434955,2025-01-26,HRSA,114,2025-01-26
61.55.69.7,35664937356778434955,2025-01-26,HRSA,461,2025-01-26
8.222.137.97,35664937356778434955,2025-01-26,HRSA,1854,2025-01-26
80.66.83.46,35664937356778434955,2025-01-26,HRSA,113062,2025-01-26
80.66.83.49,35664937356778434955,2025-01-26,HRSA,87702,2025-01-26
84.239.47.90,35664937356778434955,2025-01-26,HRSA,7,2025-01-26
91.191.209.46,35664937356778434955,2025-01-26,HRSA,384,2025-01-26
106.12.204.212,35664937356778434955,2025-01-27,HRSA,214,2025-01-27
111.67.194.254,35664937356778434955,2025-01-27,HRSA,366,2025-01-27
111.67.194.39,35664937356778434955,2025-01-27,HRSA,428,2025-01-27
118.193.72.187,35664937356778434955,2025-01-27,HRSA,256,2025-01-27
119.200.13.201,35664937356778434955,2025-01-27,HRSA,159,2025-01-27
14.103.127.80,35664937356778434955,2025-01-27,HRSA,120,2025-01-27
146.71.50.198,35664937356778434955,2025-01-27,HRSA,4876,2025-01-27
152.32.128.214,35664937356778434955,2025-01-27,HRSA,598,2025-01-27
162.142.125.242,35664937356778434955,2025-01-27,HRSA,22428,2025-01-27
162.142.125.255,35664937356778434955,2025-01-27,HRSA,22240,2025-01-27
171.25.193.77,35664937356778434955,2025-01-27,HRSA,7,2025-01-27
180.76.51.64,35664937356778434955,2025-01-27,HRSA,157,2025-01-27
183.215.194.158,35664937356778434955,2025-01-27,HRSA,37,2025-01-27
183.224.237.233,35664937356778434955,2025-01-27,HRSA,52,2025-01-27
185.220.100.240,35664937356778434955,2025-01-27,HRSA,4,2025-01-27
185.230.63.171,35664937356778434955,2025-01-27,HRSA,32,2025-01-27
193.32.162.79,35664937356778434955,2025-01-27,HRSA,1238,2025-01-27
203.239.31.150,35664937356778434955,2025-01-27,HRSA,38,2025-01-27
217.170.194.54,35664937356778434955,2025-01-27,HRSA,24,2025-01-27
23.205.105.180,35664937356778434955,2025-01-27,HRSA,732,2025-01-27
